abanar	soprar
procrastinar	segurar
procriar	libertar/livrar/gerar/soltar/desenvolver/liberar
procurar	arriscar/montear/palpar/pelejar/tatear/empenhar/esforçar/azarar/batalhar/esforçar-se/revirar/apalpar/navegar/arriscar/perseguir/coletar/tentar/registar
produzir	reproduzir/gerar/criar/trazer/fazer/customizar/generar/subproduzir/pre-fabricar/superproduzir/publicar/editar/elaborar/laminar/refazer/imprimir/pulsar/remodelar/gravar/manter/fazer
prognosticar	apostar/augurar/calcular/adivinhar/ler/predizer/prever
proibir	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/criminalizar/demover/proscrever/barrar/intimar/sustar/desconcertar/travar/excluir/evitar/parar
projectar	redesenhar/engendrar/conceber/projetar/planejar
projetar	redesenhar/engendrar/conceber/projectar/planejar
prolongar	prolongar-se/durar
promover	favorecer/preferir/enobrecer/nobilitar/advogar/propagandear/lutar/agitar
promulgar	trombetear/declarar
propor	advocar/recomendar/atestar/urgir/promover/cantar/submeter/declarar/dizer
prorrogar	segurar
proscrever	criminalizar/barrar/intimar/proibir/excluir
proteger	salvaguardar/assegurar/salvar/defender/guardar/segurar/emparedar/imunizar/protejer/cercar/enfeitiçar/preservar/defender/cobrir/manter
protelar	segurar
provar	validar/demonstrar/degustar/aduzir/alegar/documentar/referendar/manifestar/presumir/validar/citar/demonstrar/certificar/verificar/confirmar/suportar/dizer
prover	apetrechar/aparelhar/equipar/suprir/carregar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/computadorizar/estofar/informatizar/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/aguar/articular/capitalizar/datar/despejar/molhar/assentar/associar-se/esquentar/regar/abastecer/aquecer/canalizar/derramar/renovar/fornecer/sinalizar/suprir/alimentar/estender/oferecer/dar
provir	advir/originar/emergir
provocar	magoar/ofender/dilacerar/enfadar/humilhar/infatuar/tormentar/descompor/encolerizar/irar/lacerar/retalhar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/mortificar/alfinetar/atormentar/crucificar/desconcertar/enraivecer/reacender/aviltar/emocionar/ofender/importunar/insultar/rebaixar/acender/estimular/atrair/machucar/perturbar/animar/confundir/excitar/superar/pedir/levantar/incomodar/tocar
publicitar	advogar/propagandear/promover/lutar/agitar
pular	pulicar/pulinhar/saltitar/arrebentar/saltar
pulsar	palpitar
punir	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/castigar/disciplinar/corrigir
putrefazer	estragar
puxar	arrastar/atrair/abduzir/aduzir/arrancar/arrastar/esticar/tremer/tirar
pôr	deitar/semear/instalar/dispor/plantar/arranjar/perder/colocar/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/arborizar/botar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/replantar/reposicionar/sepultar/sifonar/soterrar/sobrepor/enraizar/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/enterrar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/atirar/jogar/levantar/colocar
quantificar	cronometrar/pesar/titular/pesar/andar
quebrar	implodir/desfilar/despedaçar/estilhaçar/fracturar/amaciar/desfiar/afundar
queimar	incendiar/acender/carbonizar/deflagrar/urticar/incendiar
queixar	embirrar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/lamentar/gritar/incomodar
querelar	porfiar
querer	ansiar/suspirar/desejar/ambicionar/cobiçar/esperançar/invejar/aguardar/perseguir/esperar/procurar/desejar
quitar	aposentar-se/exonerar-se/demitir-se/resignar/renunciar/cair
raciocinar	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/contemplar/planejar/refletir/balizar/encafifar/filosofar/meditar/prestar/cogitar/inferir/ponderar/deduzir/racionalizar/contemplar/avaliar/decidir/concluir/julgar/pensar/chegar/achar
racionalizar	paliar/pleitar/atenuar/mitigar/remediar
ramificar	arborizar
ranquiar	priorizar/super-ordenar/reordenar/sequenciar/subordinar/distribuir/arranjar/rebaixar
rascar	arranhar
raspar	tonsurar/arranhar
rastejar	formigar
rastejar-se	formigar
re-adquirir	acessar
realizar	culminar/perceber/apreciar/obter/compreender/chegar/atingir/começar
reaproveitar	repaginar/requentar/reusar/reutilizar
recear	apavorar-se/apavorar/temer
receber	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/capturar/obter/adquirir/encontrar/reunir/atingir/pegar/reaver/banquetear/compartir/fretar/reganhar/topar/apurar/festejar/partilhar/alugar/conseguir/exprimir/comprar/recuperar/extrair/isolar/expressar/ganhar/obter/tomar/adquirir/encontrar/aceitar/atingir/achar/dividir/fazer
recender	feder/cheirar
reciclar	repaginar/requentar/reusar/reutilizar
reclamar	embirrar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/lamentar/gritar/incomodar
recompensar	ressarcir/reembolsar
reconciliar	apaziguar/acalmar
reconfortar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
reconhecer	descartar/confessar/identificar/conceder/admitir
reconquistar	acessar
recontar	narrar/relatar
recordar	reconhecer/rever/conhecer
recordar-se	reconhecer/rever/conhecer
recriar	clonar/traçar/copiar/imitar
recrutar	inscrever/registar/registrar/matricular/sindicalizar/ingressar/alistar
recuar	retrair/retrogradar
recuperar	acessar
recusar	desacatar/desobedecer/desprezar/repudiar/lamentar/rejeitar
redigir	subscrever/visar/assinar/apostrofizar/digitar/rabiscar/datilografar/reescrever/estilizar/registar/registrar
reduzir	encurtar/resumir/condensar/abreviar/diminuir/circunscrever/deprivar/desescalonar/desprover/embotar/abaixar/desmerecer/mitigar/subtrair/encurtar/deprimir/encolher/confinar/minimizar/ferver/minguar/suprimir/enfraquecer/limitar/restringir/diminuir
refinar	aculturar/civilizar/escolar/educar/cultivar/treinar
refletir	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/balizar/encafifar/filosofar/introspectar/meditar/coruscar/opalescer/premeditar/prestar/resplandecer/teologizar/lucilar/raciocinar/cogitar/inferir/ponderar/deduzir/racionalizar/contemplar/avaliar/cintilar/decidir/concluir/julgar/pensar/chegar/considerar/achar
regalar	legar/doar/distribuir/deixar/entregar/passar/dar/gratificar/rifar/dotar/render-se/ceder/submeter/oferecer/entregar/dar
reganhar	acessar
regatear	pechinchar/barganhar
reger	gerir/governar/reinar/açambarcar/esterçar/presidir/atrelar/internacionalizar/monopolizar/governar/manobrar/reinar/arregimentar/ditar/preocupar/canalizar/enfeitiçar/lidar/cuidar/reino/direcionar/dominar/encantar/ocupar/guiar/controlar/dirigir
registar	inscrever/registrar/matricular/sindicalizar/ingressar/alistar
registrar	inscrever/registar/matricular/sindicalizar/ingressar/alistar
regressar	revisitar/retraçar/ressuscitar/retornar
regular	afinar
reinar	ditar/reino
reintegrar	reembolsar
rejeitar	desacatar/desobedecer/desprezar/repudiar/lamentar/recusar
relacionar	correlacionar/correlatar/inter-relatar/inter-relacionar/mencionar/identificar/referir/lembrar
relaxar	vegetar
remanecer	permanecer/ficar
remarcar	comentar/mencionar/indicar
remover	desmontar/derrubar
remunerar	ressarcir/reembolsar
renunciar	aposentar-se/exonerar-se/demitir-se/resignar/cair
repagar	reembolsar
reparar	cerzir/rechear/remendar/consertar/comentar/mencionar/renovar/indicar
repartir	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
repetir	reduplicar/recapitular/replicar/copiar
replicar	reduplicar/retorquir/retortar/ripostar/retrucar/rebater/recapitular/copiar/retornar
reprimir	debelar/abafar/recalcar/silenciar/amortecer
reprocessar	repaginar/requentar/reusar/reutilizar
reproduzir	fotocopiar/xerocar/replicar/simular/copiar/imitar/repetir/hibridizar/reimprimir/duplicar/quadruplicar/triplicar/cruzar/imprimir
requebrar	braquiar/fremir/vibrar
requerer	mendigar/reservar/demandar/exigir/convidar/pedir/segurar/candidatar/encomendar/peticionar/invocar/clamar/reivindicar/solicitar/rogar/demandar/suplicar/exigir/convidar/reclamar/aplicar/organizar/pedir/desejar
requisitar	mendigar/reservar/demandar/exigir/convidar/pedir/segurar/candidatar/encomendar/peticionar/invocar/reivindicar/solicitar/rogar/demandar/suplicar/exigir/convidar/requerer/reclamar/aplicar/organizar/pedir/desejar
rescindir	descumprir
reservar	guardar/olhar
resgatar	socorrer/salvar/ajudar
resignar	aposentar-se/exonerar-se/demitir-se/renunciar/cair
resistir	afrontar/arrostar/relutar/desafiar/aguentar/permanecer
resolver	seleccionar/adjudicar/selecionar/decidir/julgar/escolher/propor-se/mensurar/regulamentar/regularizar/decretar/conseguir/inferir/medir/orientar/selar/adivinhar/supor/responder/decidir/atingir/quebrar
respeitar	admirar/estimar/reverenciar/venerar/temer
respirar	bocejar/soluçar/suspirar/ressonar/hiperventilar/roncar/expirar/inalar/inspirar/exalar
responder	retorquir/retortar/ripostar/retrucar/rebater/replicar/retornar
ressuscitar	inicializar/iniciar
restar	permanecer/ficar
restituir	reembolsar
restringir	constrangir/conter/delimitar/domar/estorvar/inibir/tolher/obstruir/impedir/reprimir/suprimir/limitar/marcar/regular/controlar/prender/ligar/reduzir
resumir	expurgar/condensar/abreviar
resvalar	derrapar/patinar
reter	armazenar/acumular/negar/guardar/armazenar/deter/deduzir/poupar/preservar/conservar/guardar/segurar/manter
retornar	revisitar/retraçar/regressar/ressuscitar
retribuir	reembolsar
retroceder	retrair/retrogradar
retrucar	retorquir/retortar/ripostar/rebater/replicar/retornar
reunir	apinhar/interligar/reunir-se/acoplar/interconectar/aglomerar/convergir/anexar/juntar/unir/encontrar/ligar
reusar	repaginar/requentar/reutilizar
reutilizar	repaginar/requentar/reusar
revalidar	validar/demonstrar/documentar/referendar/validar/verificar/confirmar/suportar
revelar	descortinar/confidenciar/descerrar/desenterrar/tagarelar/expor/trair/escavar/exibir/descobrir/mostrar/falar
rever	emendar/retificar
reverter	descumprir
revistar	montear/azarar
reviver	inicializar/ressuscitar/iniciar
revogar	descumprir
ridicularizar	desmascarar
rir	casquinar/cacarejar/zurrar/convulsionar/gracejar
rodear	enclausurar/franjar/cingir/cercar
rogar	insistir/importunar
rolar	rodear
romper	quebrar/despedaçar/estilhaçar/fracturar/amaciar/quebrar
rondar	espreitar
roubar	extorquir
ruir	implodir/afundar
ruminar	ponderar/questionar/perguntar/introspectar/premeditar/teologizar/cogitar/ponderar/refletir/julgar/pensar/considerar
saber	dominar/antecipar/antever/prever
sabotar	descarrilhar
sacanear	bulir/vaiar/caçoar/zombar
sacudir	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer/concussar/debulhar/esbordoar/menear/sovar/trilhar/chocalhar/palpitar/balançar/tremer
saculejar	fibrilar
sair	afastar-se/ausentar-se/decolar/desconectar/partir
salpicar	borrifar/aerolizar/borrifar
saltar	pulicar/pulinhar/saltitar/arrebentar/pular
salvaguardar	guiar/conduzir
salvar	agraciar/socorrer/ajudar/guiar/conduzir
sanar	recuperar
sancionar	endorsar/apoiar/confirmar/aprovar
sangrar	menstruar
sarar	recuperar
satisfazer	encarecer/encantar
saudar	elogiar/cumprimentar
seduzir	desencaminhar/engodar/atrair
seguir	suplantar/aceder/sobrepor/grudar/substituir
segurar	apreender/armazenar/apanhar/acumular/furtar/negar/agarrar/guardar/roubar/prender/engalfinhar/intercetar/escorar/pescar/armazenar/interceptar/deter/deduzir/poupar/preservar/conservar/sustentar/agarrar/capturar/reter/guardar/olhar/esconder/pegar/manter
selar	impermeabilizar/empacotar/embalar
seleccionar	eleger/peneirar/analisar/selecionar/votar/decidir/escolher/aventar/coar/discar/esposar/posicionar/ungir/adoptar/peneirar/designar/selecionar/adotar/especificar/extrair/votar/determinar/nomear/propor/escolher
selecionar	eleger/peneirar/analisar/votar/decidir/escolher/aventar/coar/discar/esposar/posicionar/ungir/adoptar/peneirar/designar/adotar/especificar/extrair/votar/determinar/nomear/propor/escolher
sentar	acocorar/acocorar-se/baixar-se/agachar/empoleirar/pousar/descansar
sentar-se	acocorar/acocorar-se/baixar-se/agachar/empoleirar/pousar/descansar
sentir	arrepender/arrepender-se/lamentar/enervar-se/irritar-se/orgulhar/orgulhar-se/regozijar/regozijar-se/alegrar-se/desencantar/simpatizar/tender/congratular/entristecer/recalcar/enraivecer/entreter/radiar/recapturar/alegrar/arder/enfurecer/inclinar/sustentar/morrer/sofrer/brilhar/guardar/irritar/considerar/entender/pegar/manter
separar	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/dispersar/inicializar/rachar/espalhar
serpear	formigar
servir	caber/ajustar
significar	denotar
silenciar	recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/pacificar/tranquilizar/acalmar/compor/aliviar
simular	emular/escarnecer/zombar/copiar/imitar
sintonizar	afinar
situar	basear/localizar/adquirir
soar	ajoelhar
sobreviver	gerenciar/aguentar/improvisar/corresponder/satisfazer
socorrer	assistir/ajudar/servir/desenrascar/zelar/facilitar/acelerar/apressar/cuidar/aliviar
solapar	descarrilhar
solenizar	enlutar/comemorar/marcar/lamentar
solicitar	mendigar/reservar/demandar/exigir/convidar/pedir/segurar/candidatar/encomendar/peticionar/invocar/reivindicar/rogar/demandar/suplicar/exigir/convidar/requerer/reclamar/aplicar/organizar/pedir/desejar
soltar	carpir/lamentar-se/latir/urrar/bramir/gemir/ladrar/rugir/gemer/uivar/berrar/gritar/arfar/arrulhar/balir/chilrear/corvejar/cricrilar/gorgolejar/grunhir/miar/relinchar/rouquejar/cacarejar/chiar/coaxar/crocitar/gargarejar/gorjear/grasnir/mugir/ofegar/pipilar/rosnar/trompetear/volear/zurrar/assobiar/bufar/ecoar/estalar/gemer/piar/pigarrear/suspirar/trinar/uivar/vociferar/desencadear/cuspir/grasnar/chamar/cantar/repetir/gritar
solucionar	conseguir/inferir/adivinhar/supor/resolver/responder/atingir/quebrar
subir	galgar/trepar/ascender/montar/borbulhar/escalar/levantar
subscrever	rubricar
substanciar	validar/demonstrar/documentar/referendar/validar/verificar/confirmar/suportar
substituir	reequipar/truncar/converter/trocar/reduzir/mudar
suceder	coincidir/materializar/re-ocorrer/reincidir/suplantar/aceder/calhar/recrudescer/intervir/recorrer/sobrepor/resultar/ocorrer/sincronizar/prosseguir/repetir/substituir/brilhar/acontecer/desenvolver/vir/ir/passar/cair
sufocar	debelar/abafar/recalcar/silenciar/amortecer/reprimir
sugerir	advocar/recomendar/atestar/incriminar/urgir/culpar/promover/cantar/submeter/propor/declarar/dizer
sumir	caldear/desaparecer/ausentar/esvanecer/falecer/morrer/desaparecer/ir/diminuir
superar	sobrepujar/sacanear/trapacear/ultrapassar/exceder/derrotar/roubar/subjugar/triunfar/ultrapassar/enganar/imobilizar/derrotar/eliminar/vencer/destruir
suplicar	insistir/importunar
supor	pressentir/prognosticar/adivinhar/predizer/prever/retraçar/suspeitar/reconstruir/pressupor/formular
suportar	validar/demonstrar/engolir/aceitar/documentar/escorar/referendar/consentir/validar/aguentar/verificar/confirmar/sustentar
suprimir	ab-rogar/abrogar/debelar/abafar/abolir/recalcar/silenciar/revogar/amortecer/anular/reprimir
suprir	apetrechar/aparelhar/equipar/carregar/abrigar/acortinar/alfabetizar/amparar/blindar/encortinar/encouraçar/envidraçar/estocar/legendar/mobiliar/re-equipar/reaparelhar/reflectorizar/sanitarizar/transistorizar/computadorizar/entronar/estofar/informatizar/ofertar/amordaçar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/mecanizar/motorizar/aguar/articular/capitalizar/datar/despejar/molhar/assentar/associar-se/esquentar/prover/regar/abastecer/aquecer/canalizar/derramar/renovar/fornecer/investir/sinalizar/alimentar/estender/oferecer/dar
surgir	comparecer/destacar-se/mostrar-se/re-emergir/reaparecer/ressaltar/advir/aflorar/reluzir/evidenciar/manifestar/originar/provir/emergir/aparecer/sair
surpreender	amendrontar/galvanizar
sustentar	validar/demonstrar/prolongar-se/documentar/durar/escorar/referendar/validar/verificar/confirmar/suportar
suster	escorar/sustentar
tampar	disfarçar/mascarar/embrulhar/embalar/encobrir/esconder/cobrir/acarpetar/acimentar/aluminizar/amanteigar/azeitar/azulejar/calafetar/concretar/empanar/empapelar/encadernar/encascar/engraxar/entoucar/flocar/ladrilhar/olear/robustecer/vendar/adubar/arrolhar/caiar/cimentar/coroar/emassar/embainhar/encapuzar/encerar/engessar/envernizar/espreitar/pincelar/polvilhar/recobrir/ripar/sepultar/soterrar/untar/amontoado/atapetar/drapear/gramar/lubrificar/revestir/tapar/acobertar/embrulhar/forrar/laminar/submergir/enterrar/folhear/ocultar/empacotar/embalar/encobrir/aplicar/esconder/espalhar/segurar/colocar/cobrir
tantalizar	bulir/vaiar/caçoar/zombar
tapar	disfarçar/mascarar/encobrir/esconder/espreitar/sepultar/soterrar/acobertar/enterrar/ocultar/encobrir/esconder/cobrir
tecer	rendar/entrançar/trançar
teimar	reinvindicar/asseverar/sustentar/manter
telefonar	ligar
temer	apavorar-se/apavorar
tensionar	alongar/esticar/estender
tentar	arriscar/pelejar/empenhar/esforçar/batalhar/esforçar-se/arriscar/perseguir/procurar
teorizar	retraçar/reconstruir/formular
ter	reter/guardar/segurar/manter/monopolizar/exercer/sustentar/reter/manter
terminar	arrematar/aposentar-se/retirar-se/cumprir/efetuar/executar/desistir/realizar/parar/abandonar/atingir
terrificar	apavorar
testemunhar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
testificar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
tirar	devolver/voltar/arrastar/retornar/atrair/abduzir/aduzir/arrancar/desembarcar/arrastar/puxar/esticar/transportar/tremer/transmitir/trazer/conduzir
tiritar	tremelicar/estremecer/tremular/vibrar/tremer
tocar	oscular/prensar/beijocar/golpear/beijar/afagar/colidir/pressionar/apertar/atingir/bater/esbarrar/ricochetear/sinfonizar/ajoelhar/golpear/roçar/apalpar/beijar/manusear/acertar/raspar/balançar/encostar/acompanhar/soar/bater
tolerar	engolir/aceitar/consentir/aguentar
tomar	bebericar/sorver/libar/lamber/sugar/chupar/beber/entornar/engolir/enxugar/matar
torcer	convoluir/empenar/enlaçar/emaranhar/indentar/entrelaçar/fiar/tecer/entrançar/deformar/trançar/amassar/misturar
tornar-se	rolar/girar/virar/espiralar/volver/defletir/inclinar-se/desviar/encarar/rodar/surgir/curvar/dobrar/derrubar/girar/ser/acontecer/vir/virar/dar
tossir	pigarrear
trabalhar	laborar/mourejar/exercer/ralar/ocupar/provar/dirigir/servir/conduzir
traduzir	glosar/retraduzir/latinizar
trair	posar/enganar
tranquilizar	recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/pacificar/acalmar/compor/aliviar
tranqüilizar	recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/pacificar/tranquilizar/acalmar/compor/aliviar
transformar	transformar-se/tornar-se/acontecer/virar/aurear/aurificar/surgir/ser/acontecer/vir/dar
transformar-se	surgir/ser/acontecer/vir/dar
transmitir	publlicar/reprisar/televisionar/popularizar/semear/vulgarizar/remeter/propagar/despachar/plantar/enviar/trazer/virar/pegar
transmutar	transformar-se/tornar-se/transformar/acontecer/virar/aurear/aurificar
transportar	devolver/voltar/retornar/trazer/levar/carregar/tirar/aerotransportar/arcar/desembarcar/transmitir/trazer/carregar/conduzir
transtornar	inquietar/preocupar
traspassar	interpenetrar/prospectar/filtrar/varar/imergir/percolar/permear/perfurar/examinar/furar/penetrar/tomar/atingir/cortar
tratar	amimar/destratar/mimar/abusar/mimosear/maltratar/afagar/detoxicar/detoxificar/discorrer/flebotomizar/injustiçar/ironizar/massagear/psicanalisar/administrar/cauterizar/criminalizar/desintoxicar/excretar/hiperventilar/iodizar/irrigar/remediar/sangrar/teologizar/brutalizar/desconsiderar/medicar/discursar/discutir/esnobar/maltratar/operar/analisar/curar/ignorar/menosprezar/zombar/dispensar/manipular/evacuar/corrigir/queimar/falar
trazer	devolver/voltar/retornar/descortinar/descerrar/desenterrar/desembarcar/expor/escavar/exibir/transportar/revelar/descobrir/mostrar/transmitir/conduzir
treinar	desfraldar/retreinar/instruir
tremer	abanar/flabelar/ventilar/estremecer/tremular/tiritar/concussar/debulhar/esbordoar/fibrilar/menear/sovar/trilhar/chocalhar/tremelicar/estremecer/palpitar/tremular/tiritar/vibrar/sacudir
tremular	tremelicar/estremecer/tiritar/vibrar/tremer
trepar	escalar/subir
triturar	moer
trocar	reequipar/truncar/reduzir
troçar	agaiatar/palhaçar
ultrapassar	sobrepujar/sacanear/trapacear/exceder/derrotar/superar/roubar/subjugar/triunfar/enganar/imobilizar/derrotar/eliminar/vencer/superar/destruir
unir	interligar/acoplar/interconectar/anexar/juntar/ligar
urdir	rendar/entrançar/trançar
urgir	impacientar/instar/predicar/advocar/advogar/arguir/pressionar/apressar/pregar
urrar	esganiçar/ulular/bramir/gritar
usar	aproveitar/manipular/utilizar/alimentar/jogar
vacilar	fraquejar/stötön/voltear/esmorecer/gaguejar
validar	estultificar/provar-se/contradizer/negar/provar
vangloriar	gabar/triunfar
vangloriar-se	gabar/triunfar
variar	adequar/avianizar/adaptar/diversificar/especializar/mover/balançar/irradiar/ajustar
vedar	impermeabilizar/criminalizar/proscrever/barrar/intimar/proibir/excluir/empacotar/embalar
veicular	trombetear/declarar
vencer	sobrepujar/sacanear/trapacear/ultrapassar/exceder/derrotar/superar/roubar/arrasar/subjugar/triunfar/ultrapassar/imobilizar/derrotar/eliminar/ganhar/superar/levar/destruir
vender	leiloar/licitar/prostituir/revender/saldar/negociar/dispor/realizar
venerar	admirar/estimar/reverenciar/temer
ventilar	soprar
ver	entrever/intersectar/cruzar-se/vislumbrar/observar/compreender
verter	gotejar/pingar/decantar/respingar/transvazar/infestar/servir
vestir	encamisar/encasacar/agasalhar/calçar/fantasiar/vestido/cobrir
vetar	criminalizar/proscrever/barrar/intimar/proibir/excluir
vexar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
viajar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/regressar/ascender/escorregar/nadar/recuar/errar/perambular/vagar/deslizar/voar/apressar/retornar/visitar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/ir/andar/subir/passar/cair/apressar-se/baldear/descarrilar/despachar-se/esquiar/frequentar/freqüentar/ganir/joeirar/sobrevoar/cavalgar/descarrilhar/flanquear/ziguezaguear/peneirar/retrogradar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/errar/passear/perambular/perseguir/preceder/propagar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/baixar/brincar/circular/empurrar/espalhar/vir/caminhar/continuar/trocar/seguir/virar/ir/andar/subir/passar/cair
vir	atracar/chegar
virar	rolar/girar/espiralar/volver/defletir/inclinar-se/rodear/desviar/encarar/rodar/surgir/curvar/dobrar/derrubar/girar/ser/acontecer/vir/dar
virar-se	gerenciar/aguentar/rolar/girar/virar/espiralar/volver/defletir/inclinar-se/improvisar/desviar/encarar/rodar/sobreviver/corresponder/curvar/dobrar/derrubar/girar/satisfazer/virar
visar	rubricar
visitar	frequentar/freqüentar
voar	disparar
xerocar	microcopiar
